tag,name
fr:Saumon rose du Pacifique,Saumon Rose Du Pacifique
fr:Cheddar rouge,Cheddar Rouge
fr:FOURME,Fourme
fr:Caféine,Caféine
fr:Blé entier,Blé Entier
fr:Cuivre chaud,Cuivre Chaud
fr:CRÈME UHT,Crème Uht
fr:sirutka,Sirutka
fr:entiers,Entiers
fr:Crème entière,Crème Entière
fr:Weizenstärke,Weizenstärke
fr:ANHYDRIDE,Anhydride
fr:Truite arc-en-ciel,Truite Arc En Ciel
fr:Butterfat,Butterfat
fr:séré,Séré
fr:Lompe,Lompe
fr:KIWI,Kiwi
fr:Maïs,Maïs
fr:Sepia,Sepia
fr:Lotte,Lotte
fr:Peif,Peif
fr:Langouste caraïbe,Langouste Caraïbe
fr:noir de seiche,Noir De Seiche
fr:Vers,Vers
fr:saccharose,Saccharose
fr:Vanille,Vanille
fr:fromage italien,Fromage Italien
fr:PARMIGIANO,Parmigiano
fr:burrata,Burrata
fr:chèvre,Chèvre
fr:Gersten-Malzextrakt,Gersten Malzextrakt
fr:Pâte,Pâte
fr:Rhum,Rhum
fr:Iactose,Iactose
fr:Orz,Orz
fr:torskrom,Torskrom
fr:Sigle,Sigle
fr:Tomate,Tomate
fr:Clémentine,Clémentine
fr:FTS,Fts
fr:caviar,Caviar
fr:Pescado,Pescado
fr:mélange boisé,Mélange Boisé
fr:Yogourt,Yogourt
fr:nausées,Nausées
fr:chair de homard américain,Homard
fr:Weizenröstmalz,Weizenröstmalz
fr:glucose,Glucose
fr:Pois,Pois
fr:Maroilles,Maroilles
fr:fromage Emmental,Fromage Emmental
fr:Weizensirup,Weizensirup
fr:mayonnaise,Mayonnaise
fr:Vermicelles,Vermicelles
fr:Saumonette,Saumonette
fr:wasabi,Wasabi
fr:Láctico,Láctico
fr:Bonite,Bonite
fr:Sesamfrön,Sesamfrön
fr:abricot,Abricot
fr:atún,Atún
fr:Tomme,Tomme
fr:whole milk powder,Whole Milk Powder
fr:Figue,Figue
fr:tournesol,Tournesol
fr:cerises,Cerises
fr:fromet,Fromet
fr:Salmo  salar,Salmo  Salar
fr:Soj,Soj
fr:Noix de macademia,Noix De Macademia
fr:LIME,Lime
fr:PESTICIDES,Pesticides
fr:Emmerflocken,Emmerflocken
fr:azyme,Azyme
fr:Mjólktrdufl,Mjólktrdufl
fr:Cheddar-Käse,Cheddar
fr:corn,Corn
fr:CACAO,Cacao
fr:Réglisse,Réglisse
fr:noix de pin,Noix De Pin
fr:Weizeneiweiß,Weizeneiweiß
fr:truite fumée,Truite Fumée
fr:Panulirus argus,Panulirus Argus
fr:Hafervollkornmehl,Hafervollkornmehl
fr:Beuure,Beurre
fr:Pienas,Pienas
fr:Sorbitol,Sorbitol
fr:Poivron rouge,Poivron Rouge
fr:Cebada,Cebada
fr:SFL,Sfl
fr:Weizenmehl,Weizenmehl
fr:Fabriqué dans un atelier,Fabriqué Dans Un Atelier
fr:fibre de tige de blé,Fibre De Tige De Blé
fr:Raugas,Raugas
fr:Carvi,Carvi
fr:Malté,Malté
fr:paprika,Paprika
fr:Sardellenextrakt,Sardellenextrakt
fr:Thon Albacore,Thon Albacore
fr:FROMAGE EDAM,Fromage Edam
fr:Bouglour,Bouglour
fr:rapesan,Rapesan
fr:ACIDE,Acide
fr:arôme,Arôme
fr:Kabeljau,Kabeljau
fr:Alcool,Alcool
fr:Sarrasin,Sarrasin
fr:lai,Lai
fr:Lactate,Lactate
fr:Congre,Congre
fr:Féra,Féra
fr:Mulet,Mulet
fr:Penaeus vannamei,Penaeus Vannamei
fr:maasdam,Maasdam
fr:Mozzarella cheese,Mozzarella
fr:Thazard,Thazard
fr:mozzarrella,Mozzarrella
fr:Vollkornhafer,Vollkornhafer
fr:FROMAGE CHEDDAR,Fromage Cheddar
fr:carrelet,Carrelet
fr:dur,Dur
fr:phenylalanine,Phenylalanine
fr:Natriummetabisulfit,Natriummetabisulfit
fr:Pulpe,Pulpe
fr:Comté AOP,Comté Aop
fr:Plie,Plie
fr:EMMENATL,Emmental
fr:Maslac,Maslac
fr:perche,Perche
fr:crèrme,Crème
fr:homard bleu,Homard Bleu
fr:Arachide grillée,Arachide Grillée
fr:Coquillages,Coquillages
fr:églefin,Églefin
fr:Crystacé,Crystacé
fr:béchamel,Béchamel
fr:anacardier,Anacardier
fr:Fromage mozzarella,Fromage Mozzarella
fr:Camenbert,Camenbert
fr:ETG,Etg
fr:burro,Beurre
fr:Cynoglossus itinus,Cynoglossus Itinus
fr:PIMENT,Piment
fr:CERTICAR,Certicar
fr:éperlan,Éperlan
fr:Filets de harengs,Filets De Harengs
fr:Cochenilles,Cochenilles
fr:POTASSIUM,Potassium
fr:Liquide de couverture,Liquide De Couverture
fr:coco,Coco
fr:Thon germon,Thon Germon
fr:Malt froment,Malt Froment
fr:Scargots,Escargots
fr:Malts de blé,Malts De Blé
fr:Dérivés,Dérivés
fr:Emmental français,Emmental
fr:amidon,Amidon
fr:loddarom,Loddarom
fr:Laktose,Lactose
fr:Ténébrions,Ténébrions
fr:fonte,Fonte
fr:pesto,Pesto
fr:Blé khorasan,Blé Khorasan
fr:Gruyère AOP,Gruyère Aop
fr:Porc,Porc
fr:pangas,Pangas
fr:neant,Neant
fr:Molkenerzeugnis,Molkenerzeugnis
fr:AIT,Lait
fr:Biologique,Biologique
fr:grillons,Grillons
fr:STG,Stg
fr:sodium,Sodium
fr:fruits,Fruits
fr:Malt de blé,Malt De Blé
fr:CACAHUETTE,Cacahuète
fr:Crevette nordique,Crevette Nordique
fr:germe de blé,Germe De Blé
fr:beure,Beurre
fr:concentré,Concentré
fr:fontina,Fontina
fr:Penaeus monodon,Penaeus Monodon
fr:fanne de froment,Fanne De Froment
fr:Cafeine,Cafeine
fr:Ufs,Ufs
fr:SAME,Same
fr:Voine,Avoine
fr:Daurade,Daurade
fr:châtaigne,Châtaigne
fr:Cynoglossus oligolepis,Cynoglossus Oligolepis
fr:Tuber aestivum,Tuber Aestivum
fr:triticale,Triticale
fr:Vollkornweizen,Vollkornweizen
fr:Lactic,Lactic
fr:Fourrage,Fourrage
fr:palme,Palme
fr:Pavot,Pavot
fr:Lacté,Lacté
fr:mandarine,Mandarine
fr:Metton,Metton
fr:GRAPEFRUIT,Grapefruit
fr:cohana,Cohana
fr:FERMENTS,Ferments
fr:PATE,Pâte
fr:CREM,Crème
fr:Palourde,Palourde
fr:Surutke,Surutke
fr:Guten,Gluten
fr:Alune,Alune
fr:mais,Mais
fr:Fenugrec,Fenugrec
fr:Mleko,Mleko
fr:TRANSPARENCE,Transparence
fr:carraghénanes,Carraghénanes
fr:calamares,Calamars
fr:TOME,Tome
fr:CACAHETE,Cacahuète
fr:imazalil,Imazalil
fr:Millet,Millet
fr:algue,Algue
fr:persil,Persil
fr:Sirop,Sirop
fr:Clementine,Clémentine
fr:dioxyde de sulfure,Dioxyde De Sulfure
fr:org,Orge
fr:HCO,Hco
fr:Dextrose,Dextrose
fr:APRICOT,Abricot
fr:Noic du brésil,Noic Du Brésil
fr:Láctea,Láctea
fr:manteca pura,Manteca Pura
fr:Fromage parmesan,Parmesan
fr:Iactate,Iactate
fr:Thunnus albacares,Thunnus Albacares
fr:fromage bleu,Fromage Bleu
fr:Senfbestandteile,Senfbestandteile
fr:élimination du calcium,Élimination Du Calcium
fr:Sucre,Sucre
fr:Haricot mungo,Haricot Mungo
fr:Calmars du Cap,Calmars Du Cap
fr:étrilles,Étrilles
fr:REGGIANO,Reggiano
fr:Farine,Farine
fr:noix de pécn,Noix De Pécan
fr:Aroma,Aroma
fr:gras,Gras
fr:phil germe de froment,Phil Germe De Froment
fr:malte,Malte
fr:USA,Usa
fr:Weizenflakes,Weizenflakes
fr:Fromage de Savoie,Fromage De Savoie
fr:Trigo,Trigo
fr:romarin,Romarin
fr:Milkwort,Milkwort
fr:Blé - lactose,Blé   Lactose
fr:Mantequilla,Mantequilla
fr:Erdnussbutter,Erdnussbutter
fr:CHAPELURE,Chapelure
fr:Flétan du Groenland,Flétan Du Groenland
fr:lécithine,Lécithine
fr:anit,Anit
fr:céphalopode,Céphalopode
fr:Blé-lactose,Blé Lactose
fr:Néant,Néant
fr:ALASKA,Alaska
fr:Sel,Sel
fr:Gadus morhua,Gadus Morhua
fr:Vollei,Vollei
fr:emmenthal,Emmenthal
fr:Thon listao,Thon Listao
fr:bouillons,Bouillons
fr:CERTISUD,Certisud
fr:EGLEFIN,Eglefin
fr:Passion,Passion
fr:mozzarela,Mozzarela
fr:blé de khorasan,Blé De Khorasan
fr:LEVAIN,Levain
fr:Couscous,Couscous
fr:Celerey,Céleri
fr:BANANE,Banane
